crystal_id,canary_id,name,reason
1,1,water,same-id-same-name
2,2,wine,same-id-same-name
3,3,beer,same-id-same-name
4,4,mud,same-id-same-name
5,5,blood,same-id-same-name
6,6,slime,same-id-same-name
7,7,oil,same-id-same-name
8,8,urine,same-id-same-name
9,9,milk,same-id-same-name
10,10,manafluid,same-id-same-name
11,11,lifefluid,same-id-same-name
12,12,lemonade,same-id-same-name
13,13,rum,same-id-same-name
14,14,fruit juice,same-id-same-name
15,15,coconut milk,same-id-same-name
16,16,mead,same-id-same-name
17,17,tea,same-id-same-name
18,18,ink,same-id-same-name
19,19,candyfluid,same-id-same-name
20,20,chocolate,same-id-same-name
100,100,void,same-id-same-name
101,101,earth,same-id-same-name
102,102,white flower,same-id-same-name
103,103,dirt,same-id-same-name
104,104,sand,same-id-same-name
105,105,poison field,same-id-same-name
106,106,grass,same-id-same-name
107,107,special flask,same-id-same-name
110,110,special flask,same-id-same-name
111,111,dead human,same-id-same-name
112,112,magical watch,same-id-same-name
113,113,dwarven emperor's beard,same-id-same-name
116,116,crate,same-id-same-name
117,117,crate,same-id-same-name
118,118,crate,same-id-same-name
119,119,box,same-id-same-name
120,120,some special leaves,same-id-same-name
121,121,whoopee cushion,same-id-same-name
122,122,cat basket,same-id-same-name
123,123,toy mouse,same-id-same-name
124,124,easily inflammable sulphur,same-id-same-name
125,125,special flask,same-id-same-name
126,126,special flask,same-id-same-name
127,127,magical inkwell,same-id-same-name
128,128,signed contract,same-id-same-name
129,129,contract,same-id-same-name
130,130,exploding cookie,same-id-same-name
131,131,ectoplasm container,same-id-same-name
132,132,scrying crystal ball,same-id-same-name
133,133,special flask,same-id-same-name
134,134,grave,same-id-same-name
135,135,special flask,same-id-same-name
136,136,beer bottle,same-id-same-name
137,137,water cask,same-id-same-name
138,138,empty beer bottle,same-id-same-name
139,139,mining helmet,same-id-same-name
140,140,parcel,same-id-same-name
141,141,cigar,same-id-same-name
142,142,bale of white cloth,same-id-same-name
143,143,bale of yellowed cloth,same-id-same-name
144,144,mummy disguise,same-id-same-name
145,145,heavy package,same-id-same-name
166,166,wooden coffin,same-id-same-name
167,167,wooden coffin,same-id-same-name
